INFO 2026-06-21 16:32:41,878 worker_base 8720 15128 [WORKER_STAGE_SUCCESS] correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown queue_name=ingestion worker_id=INGESTION worker_pid=8720 hostname=LAPTOP-601O6S3T retry_count=1 visibility_timeout=1800 processing_duration_ms=14557 dto_status=COMPLETED
INFO 2026-06-21 16:32:41,898 message_parser 20408 7088 [CONTEXT_TRACE_SCHEMA_VALIDATE] msg_id=2d0f34a2-acac-4577-a377-ec365c55469a job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 payload_keys=['type', 'prompt', 'image_data', 'mime_type', 'voucher_type', 'page_index', 'page_number', 'total_pages', 'wait_for_result', '_pdf_ocr_text', 'file_hash', 'item_id', 'record_id', 'job_id', 'upload_session_id', 'tenant_id', 'upload_type', 'correlation_id', 'is_rescan', 'rescan_history_id', 'user_id', 'metadata']
INFO 2026-06-21 16:32:41,898 message_parser 20408 7088 [JOB_CONTEXT_VALIDATED] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,898 message_parser 20408 7088 [JOB_CONTEXT_PROPAGATED] type=AI_EXTRACTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:41,898 worker_base 20408 7088 [QUEUE_MESSAGE_RECEIVED] correlation_id=57013f2a-284f-4f63-9fb3-6ce31d5a4991 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 page_number=1 worker_name=AI
INFO 2026-06-21 16:32:41,898 worker_base 20408 7088 [WORKER_MESSAGE_RECEIVED] correlation_id=57013f2a-284f-4f63-9fb3-6ce31d5a4991 upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown queue_name=ai worker_id=AI worker_pid=20408 hostname=LAPTOP-601O6S3T retry_count=1 visibility_timeout=1800
INFO 2026-06-21 16:32:41,898 worker_base 20408 7088 [WORKER_PICKUP] role='AI' task_id='2d0f34a2-acac-4577-a377-ec365c55469a' session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' job_id='e1ca4245-2a81-42d6-a8bf-f71aff34d1c3' correlation_id='57013f2a-284f-4f63-9fb3-6ce31d5a4991'
INFO 2026-06-21 16:32:41,948 worker_base 8720 15128 [QUEUE_MESSAGE_ACK] id=bb7b15df-725c-4904-885a-dd60bf6c72fb queue=ingestion correlation_id=43c167db-86ac-4788-abe5-8ed4e743981b session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:41,966 worker_base 20408 7088 [QUEUE_MESSAGE_PROCESSING] correlation_id=57013f2a-284f-4f63-9fb3-6ce31d5a4991 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 worker_name=AI
INFO 2026-06-21 16:32:41,966 worker_base 20408 7088 [PIPELINE_STAGE_ENTER] stage=AI correlation_id=57013f2a-284f-4f63-9fb3-6ce31d5a4991 upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown
INFO 2026-06-21 16:32:41,967 ai_worker 20408 7088 [CONTEXT_TRACE_AI_RECEIVE] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 trace_id=None page=1
INFO 2026-06-21 16:32:41,967 ai_worker 20408 7088 [SESSION_FORENSIC] stage='ai_worker_receive' record=1007711 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant=2eda0ac6-6af2-493e-8792-bc973fe946b7 page=1
INFO 2026-06-21 16:32:41,967 ai_worker 20408 7088 [AI_PAGE_START] record=1007711 page=1 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 correlation_id=57013f2a-284f-4f63-9fb3-6ce31d5a4991 worker_role=AI
